What kind of shoes to frogs wear?;Open-toad sandals.;
Did I ever tell you about the time I went mushroom foraging?;Itâ€™s a story with a morel at the end.;
What happened when two slices of bread went on a date?;It was loaf at first sight.;
Why do crabs never volunteer?;Because they're shell-fish.;
What's a shark's favorite saying?;Man overboard!;
What did one slice of bread say to the other before the race?;You're toast!;
How did I know my girlfriend thought I was invading her privacy?;She wrote about it in her diary.;
Why did the electric car feel discriminated against?;Because the rules weren't current.;
Why do melons have weddings?;They cantelope.;
What did the bison say to his son when he left the ranch?;Bi-son.;
Were did the pumpkins have their meeting?;In the gourdroom.;
What's the best way to save your dad jokes?;In a dadda-base.;
What do you call a sheep who can sing and dance?;Lady Ba Ba.;
What do you call a French man wearing sandals?;Philipe Fallop.;
Why can't dinosaurs clap their hands?;Because they're extinct.;
Why should you never take sides in an argument at the dinner table?;Trick question. It's the perfect time to take sides because no one's paying attention. Bring Tupperware.;
Who won the neck decorating contest?;It was a tie.;
Where do rainbows go when they've been bad?;To prism, so they have time to reflect on what they've done.;
What do mermaids use to wash their fins?;Tide.;
What did the skillet eat on its birthday?;Pan-cakes.;
Why couldn't the produce manager make it to work?;He could drive, but he didn't avocado.;